GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
91.0525,1424.78,921.576,48.9474,214.843,1393.49,2.81054,123.369,18.0525,6.59209
75,1411,945,38,216,966,2.6,81,18,6.5
90,1340,945,38,218,966,2.7,61,28,6.6
96,1455,945,39,219,966,2.7,143,22,6.6
96,1468,945,40,218,966,2.7,144,18,6.6
96,1467,945,42,219,966,2.7,144,18,6.6
94,1460,945,43,220,966,2.7,143,20,6.6
37,1459,500,44,200,966,2.7,144,19,6.6
95,1456,945,45,218,966,2.7,140,18,6.6
56,1446,945,46,202,966,2.7,143,20,6.6
99,1387,945,46,220,966,2.8,110,21,6.6
99,1451,945,48,220,966,2.8,133,20,6.6
99,1452,945,48,220,966,2.8,136,18,6.6
99,1452,945,49,220,966,2.8,135,20,6.6
99,1446,945,50,220,966,2.8,136,19,6.6
99,1448,945,51,218,966,2.8,136,17,6.6
99,1448,945,52,220,1103,2.8,136,18,6.6
99,1443,945,52,220,1142,2.8,135,21,6.6
1,1382,500,51,98,1213,2.8,136,17,6.6
99,1422,945,53,220,1287,2.9,114,18,6.6
99,1408,945,53,219,1363,2.9,123,15,6.6
99,1419,945,53,220,1433,2.9,125,16,6.6
99,1425,945,53,217,1508,2.9,123,17,6.6
99,1414,945,54,220,1577,2.9,124,15,6.6
99,1408,945,54,221,1642,2.9,120,16,6.6
99,1409,945,54,220,1704,2.9,121,15,6.6
99,1426,945,54,219,1774,2.9,123,18,6.6
99,1425,945,53,218,1838,2.9,120,17,6.6
99,1421,945,54,219,1898,2.9,123,17,6.6
99,1406,945,53,218,1952,2.9,123,14,6.6
99,1420,945,54,221,2017,2.9,124,20,6.6
99,1425,945,54,219,2073,2.9,121,16,6.6
99,1417,945,54,218,2129,2.9,123,18,6.6
99,1420,945,53,217,2173,2.9,123,17,6.6
99,1405,945,53,220,2206,2.9,123,16,6.6
99,1401,945,53,221,2235,2.9,122,17,6.6
99,1377,945,53,219,2264,2.9,115,16,6.6
