GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
77.0716,1510.17,926.165,63.7977,179.387,1396.19,3,158.039,24.0157,7.68178
76,1210,945,64,91,1331,3,112,25,7.6
70,1197,500,63,75,1284,3,112,25,7.6
75,1185,800,62,79,1208,3,107,27,7.6
60,1220,945,62,84,1138,3,112,24,7.6
77,1230,800,62,83,1071,3,113,23,7.6
67,1242,800,61,82,1013,3,115,24,7.6
75,1261,945,61,90,983,3,117,26,7.6
71,1202,945,62,83,983,3,112,23,7.6
76,1165,800,61,73,983,3,110,27,7.6
71,1171,800,61,75,983,3,110,25,7.6
70,1140,800,61,73,983,3,108,25,7.6
57,1236,945,62,82,983,3,111,28,7.6
53,1248,945,62,81,983,3,115,25,7.6
78,1268,945,63,89,983,3,122,25,7.6
76,1453,945,65,134,983,3,134,26,7.6
64,1501,945,65,143,983,3,141,29,7.6
88,1580,945,68,219,983,3,157,27,7.6
88,1540,945,70,219,983,3,206,25,7.6
97,1528,945,71,220,1126,3,224,25,7.6
94,1534,945,73,220,1360,3,211,25,7.6
99,1529,945,72,220,1621,3,206,26,7.6
99,1520,945,72,220,1883,3,208,24,7.6
86,1543,945,73,218,2139,3,207,28,7.6
82,1562,945,71,218,2301,3,194,25,7.6
88,1576,945,70,219,2369,3,189,28,7.6
70,1561,945,68,178,2397,3,188,26,7.6
71,1570,945,68,215,2380,3,192,25,7.6
83,1570,945,67,216,2397,3,189,24,7.6
56,1572,945,65,188,2391,3,186,25,7.5
88,1576,945,65,221,2380,3,187,23,7.5
81,1587,945,66,216,2375,3,180,25,7.5
81,1590,945,64,217,2375,3,176,26,7.5
91,1590,945,64,220,2369,3,177,24,7.5
88,1589,945,64,220,2337,3,180,29,7.5
99,1565,945,63,219,2311,3,195,26,7.5
99,1543,945,64,219,2276,3,228,24,7.5
83,1569,500,63,217,2227,3,213,24,7.5
75,1589,945,62,209,2190,3,151,25,7.5
87,1598,945,63,219,2140,3,147,24,7.5
96,1569,945,62,220,2088,3,166,27,7.5
95,1562,945,62,221,2035,3,196,25,7.5
76,1572,945,62,215,1981,3,196,26,7.5
99,1564,945,62,220,1933,3,189,25,7.5
96,1578,945,62,219,1884,3,193,26,7.5
88,1565,945,62,219,1827,3,197,25,7.5
94,1552,945,62,219,1774,3,211,24,7.5
99,1534,945,62,220,1747,3,245,23,7.5
74,1573,945,62,202,1741,3,227,26,7.6
78,1591,945,62,196,1716,3,181,24,7.6
71,1577,945,61,188,1661,3,173,23,7.6
73,1531,945,60,147,1597,3,165,25,7.6
75,1522,945,60,142,1531,3,160,28,7.6
74,1583,945,61,190,1466,3,156,25,7.6
86,1591,945,61,218,1399,3,160,25,7.6
88,1566,945,62,219,1359,3,187,24,7.6
96,1558,945,62,219,1382,3,175,25,7.6
80,1582,945,62,215,1392,3,170,27,7.6
99,1558,945,63,219,1390,3,191,28,7.6
82,1579,945,63,215,1391,3,201,27,7.6
70,1584,945,63,203,1393,3,185,25,7.6
75,1200,800,59,68,1424,3,155,24,7.6
72,1112,800,58,67,1381,3,102,25,7.6
99,1439,945,61,220,1308,3,124,24,7.6
99,1535,945,62,220,1245,3,168,20,7.6
