GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
96.1402,1516.07,944.11,68.8701,216.567,1619.14,2.79439,174.674,21.12,7.58741
96,1559,945,57,219,2295,2.8,165,29,7.5
98,1555,945,57,221,2295,2.8,170,24,7.5
98,1546,945,57,219,2290,2.8,172,26,7.5
96,1533,945,57,221,2295,2.8,169,25,7.5
98,1539,945,58,219,2290,2.8,209,24,7.5
98,1537,945,58,219,2290,2.8,213,21,7.5
97,1540,945,57,220,2295,2.8,205,21,7.5
92,1549,945,57,220,2296,2.8,206,18,7.5
95,1550,945,57,220,2291,2.8,181,25,7.5
95,1547,945,57,219,2295,2.8,178,22,7.5
98,1550,945,57,220,2286,2.8,177,25,7.5
99,1564,945,57,220,2290,2.8,182,23,7.5
98,1562,945,57,219,2290,2.8,190,22,7.5
99,1524,945,57,220,2291,2.8,162,22,7.5
99,1534,945,57,221,2296,2.8,173,21,7.5
99,1527,945,57,219,2286,2.8,163,23,7.5
99,1533,945,57,218,2291,2.8,166,21,7.5
99,1494,945,57,220,2281,2.8,135,20,7.5
87,1487,945,56,219,2266,2.8,148,20,7.5
87,1583,945,57,220,2241,2.8,164,27,7.5
90,1561,945,57,217,2212,2.7,159,23,7.5
89,1576,945,58,220,2208,2.7,170,24,7.5
88,1573,945,57,218,2203,2.7,172,22,7.5
99,1519,945,57,220,2208,2.7,151,21,7.5
99,1525,945,57,221,2208,2.7,157,21,7.5
99,1534,945,58,218,2203,2.7,173,22,7.5
100,1526,945,57,221,2203,2.7,164,25,7.5
99,1509,945,57,219,2208,2.7,156,18,7.5
98,1537,945,58,220,2203,2.7,192,22,7.5
99,1472,945,57,218,2203,2.7,212,21,7.5
99,1542,945,58,219,2208,2.7,221,23,7.5
95,1528,945,58,220,2208,2.7,209,22,7.5
99,1538,945,58,219,2203,2.7,226,20,7.5
88,1551,945,58,218,2208,2.7,179,20,7.5
85,1498,945,57,219,2203,2.7,145,21,7.5
91,1556,945,57,220,2171,2.7,171,21,7.5
85,1574,945,58,217,2149,2.7,177,23,7.5
91,1559,945,58,218,2144,2.7,180,21,7.5
99,1538,945,58,221,2149,2.7,185,22,7.5
99,1531,945,58,219,2149,2.7,179,18,7.5
99,1531,945,58,221,2149,2.7,180,20,7.5
99,1529,945,58,221,2149,2.7,181,21,7.5
99,1529,945,58,218,2149,2.7,181,19,7.5
98,1526,945,58,219,2149,2.7,194,19,7.5
65,1455,945,56,140,2149,2.7,174,25,7.6
72,1591,945,58,197,2135,2.7,137,24,7.5
64,1524,945,56,152,2097,2.7,130,26,7.5
63,1484,945,56,122,2047,2.8,125,25,7.5
53,1564,945,56,199,1996,2.8,130,26,7.5
77,1586,945,57,193,1936,2.8,134,26,7.5
70,1586,945,57,202,1883,2.8,146,26,7.5
81,1590,945,58,218,1867,2.8,146,22,7.5
68,1594,945,57,198,1890,2.8,145,25,7.5
62,1567,945,57,175,1901,2.8,137,26,7.5
67,1351,945,55,94,1863,2.8,136,26,7.5
78,1265,800,54,81,1811,2.8,126,24,7.5
68,1400,945,55,127,1756,2.8,133,29,7.5
73,1559,945,57,208,1685,2.8,159,25,7.5
83,1570,945,57,215,1685,2.8,176,27,7.5
99,1538,945,58,221,1738,2.8,196,26,7.5
99,1534,945,58,219,1795,2.8,201,26,7.5
99,1533,945,58,220,1860,2.8,198,27,7.5
99,1531,945,58,218,1918,2.8,196,25,7.5
99,1544,945,59,220,1977,2.8,165,28,7.5
99,1529,945,59,220,2035,2.8,186,26,7.5
99,1526,945,58,219,2055,2.8,210,28,7.5
99,1520,945,59,221,2055,2.8,220,25,7.5
99,1521,945,59,220,2080,2.8,224,24,7.5
99,1523,945,59,218,2088,2.8,218,24,7.5
99,1519,945,59,219,2088,2.8,203,21,7.5
99,1525,945,59,219,2088,2.8,191,21,7.5
81,1581,945,59,211,2088,2.8,152,24,7.5
83,1587,945,59,212,2080,2.8,136,26,7.5
74,1586,945,59,206,2047,2.8,137,24,7.5
77,1585,945,59,201,2011,2.8,134,29,7.5
68,1575,945,59,185,1973,2.8,131,24,7.5
74,1575,945,58,164,1926,2.8,129,26,7.5
70,1583,945,59,207,1873,2.8,121,23,7.5
76,1579,945,59,215,1818,2.8,145,26,7.5
72,1582,945,59,198,1805,2.8,144,24,7.5
75,1584,945,59,217,1805,2.8,143,25,7.5
99,1532,945,60,220,1802,2.8,155,25,7.5
93,1557,945,60,218,1802,2.8,164,25,7.5
99,1528,945,60,220,1805,2.8,175,27,7.5
