GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
83.4608,1467.26,920.524,63.4555,179.232,1626.85,2.5,173.865,23.7644,5.59643
82,1579,945,60,210,2281,2.5,157,26,5.6
72,1579,945,59,213,2261,2.5,163,22,5.6
85,1574,945,60,212,2261,2.5,167,23,5.6
74,1574,945,59,207,2261,2.5,164,24,5.6
80,1583,945,59,195,2261,2.5,166,23,5.6
71,1559,945,59,185,2232,2.5,172,25,5.6
80,1560,945,59,185,2199,2.5,169,26,5.6
67,1550,945,58,177,2149,2.5,167,27,5.6
84,1557,945,58,189,2097,2.5,167,28,5.6
97,1558,945,59,219,2043,2.5,176,24,5.6
95,1556,945,59,221,2027,2.5,180,24,5.6
89,1558,945,60,217,2031,2.5,178,26,5.6
81,1553,945,60,213,2071,2.5,184,24,5.6
95,1553,945,60,220,2088,2.5,186,25,5.6
98,1536,945,60,220,2092,2.5,204,23,5.6
98,1528,945,60,220,2110,2.5,241,20,5.6
98,1527,945,60,218,2140,2.5,241,22,5.6
97,1526,945,60,219,2171,2.5,241,20,5.6
98,1526,945,61,219,2171,2.5,241,24,5.6
95,1535,945,60,218,2176,2.5,224,22,5.5
99,1529,945,61,219,2176,2.5,201,18,5.5
96,1544,945,61,219,2176,2.5,200,19,5.5
94,1543,945,61,219,2176,2.5,198,20,5.5
94,1541,945,61,218,2180,2.5,197,21,5.5
97,1547,945,61,220,2176,2.5,192,22,5.5
93,1552,945,61,219,2176,2.5,187,22,5.5
96,1550,945,61,220,2171,2.5,186,22,5.5
95,1548,945,61,219,2176,2.5,186,23,5.5
97,1547,945,61,220,2149,2.5,186,25,5.5
97,1531,945,61,221,2122,2.5,208,23,5.5
98,1538,945,61,220,2122,2.5,242,21,5.5
98,1532,945,61,219,2114,2.5,244,24,5.5
97,1535,945,62,220,2114,2.5,239,21,5.5
94,1536,945,61,220,2114,2.5,228,20,5.5
79,1552,945,61,214,2118,2.5,209,21,5.5
93,1560,945,61,218,2110,2.5,172,25,5.5
82,1572,945,62,219,2076,2.5,165,24,5.5
77,1571,800,61,215,2039,2.5,168,23,5.5
83,1561,945,61,218,2008,2.5,170,24,5.5
98,1552,945,62,220,1973,2.5,177,23,5.5
98,1542,945,61,220,1966,2.5,194,22,5.5
95,1544,945,62,218,1966,2.5,194,23,5.5
97,1546,945,62,219,1966,2.5,185,22,5.5
97,1547,945,62,218,1966,2.5,186,22,5.5
98,1533,945,63,219,1966,2.5,207,23,5.5
94,1537,945,62,219,1962,2.5,229,22,5.5
97,1525,945,63,221,1966,2.5,233,22,5.5
97,1522,945,63,219,1966,2.5,240,22,5.5
98,1523,945,62,219,1966,2.5,240,20,5.5
72,1569,945,62,199,1966,2.5,211,21,5.5
68,1581,945,62,196,1958,2.5,169,24,5.5
79,1581,945,62,202,1937,2.5,170,23,5.5
77,1578,945,62,195,1897,2.5,172,23,5.5
60,1576,945,62,191,1844,2.5,175,23,5.5
98,1552,945,62,219,1787,2.5,175,25,5.5
98,1539,945,62,220,1742,2.5,194,22,5.5
96,1546,945,62,218,1739,2.5,191,22,5.5
96,1547,945,63,218,1739,2.5,186,23,5.5
95,1548,945,63,220,1739,2.5,186,23,5.5
98,1529,945,63,221,1739,2.5,190,21,5.5
98,1523,945,63,220,1739,2.5,194,22,5.5
94,1529,945,63,219,1739,2.5,175,23,5.5
95,1521,945,63,219,1739,2.5,179,21,5.5
86,1523,945,64,209,1739,2.5,169,25,5.5
90,1521,945,63,203,1741,2.5,179,26,5.5
96,1536,945,64,218,1736,2.5,210,26,5.5
93,1536,945,64,218,1733,2.5,224,21,5.5
93,1535,945,63,219,1736,2.5,221,22,5.5
79,1496,945,63,189,1739,2.5,196,24,5.5
97,1539,945,63,221,1739,2.5,208,25,5.5
97,1536,945,64,220,1707,2.5,212,24,5.5
88,1528,945,64,213,1704,2.5,215,25,5.5
87,1533,945,64,211,1710,2.5,204,30,5.5
89,1519,945,64,208,1704,2.5,191,27,5.5
97,1536,945,64,220,1704,2.5,188,27,5.5
95,1537,945,64,218,1704,2.5,168,26,5.5
55,1529,945,64,203,1699,2.5,160,24,5.5
96,1535,945,64,219,1674,2.5,164,27,5.5
90,1540,945,65,216,1642,2.5,158,29,5.5
78,1555,945,64,201,1612,2.5,167,26,5.5
35,1119,800,59,44,1571,2.5,114,29,5.5
40,1148,800,60,45,1511,2.5,125,28,5.5
70,1072,800,58,53,1446,2.5,80,20,5.5
31,1064,800,58,42,1381,2.5,81,21,5.5
69,1065,800,57,51,1321,2.5,82,19,5.5
98,1377,945,61,213,1248,2.5,112,19,5.5
97,1532,945,62,220,1214,2.5,219,27,5.6
96,1542,945,63,220,1266,2.5,209,30,5.6
96,1540,945,64,219,1331,2.5,222,23,5.6
94,1537,945,64,219,1408,2.5,227,21,5.6
96,1537,945,63,220,1494,2.5,230,20,5.6
96,1534,945,65,220,1577,2.5,226,21,5.6
93,1533,945,64,220,1658,2.5,220,23,5.6
98,1531,945,64,220,1721,2.5,221,23,5.6
96,1524,945,65,221,1759,2.5,226,19,5.6
96,1539,945,65,219,1771,2.5,197,20,5.6
95,1536,945,64,219,1802,2.5,197,20,5.6
96,1535,945,65,220,1805,2.5,197,22,5.6
96,1530,945,64,218,1808,2.5,196,22,5.6
95,1541,945,65,218,1808,2.5,206,21,5.6
95,1538,945,65,218,1805,2.5,221,21,5.6
92,1537,945,65,218,1805,2.5,207,25,5.6
99,1543,945,66,219,1805,2.5,244,23,5.6
99,1541,945,66,221,1805,2.5,245,22,5.6
99,1528,945,65,218,1831,2.5,250,21,5.6
99,1523,945,66,218,1837,2.5,259,21,5.6
98,1516,945,65,219,1840,2.5,253,21,5.6
77,1265,945,61,94,1818,2.5,127,26,5.6
64,1303,945,61,96,1765,2.5,119,23,5.6
63,1256,800,60,75,1702,2.5,117,26,5.6
57,1230,800,59,83,1640,2.5,113,23,5.6
65,1268,800,59,86,1580,2.5,116,24,5.6
68,1222,800,58,78,1516,2.5,111,27,5.6
75,1191,800,58,79,1446,2.5,109,25,5.6
67,1246,945,58,92,1379,2.5,112,24,5.6
73,1202,800,57,77,1308,2.5,110,24,5.6
64,1223,945,57,84,1241,2.5,111,25,5.6
57,1246,945,57,83,1167,2.5,113,24,5.6
67,1246,800,57,86,1107,2.5,114,25,5.6
73,1256,800,57,86,1053,2.5,116,24,5.6
68,1239,800,57,85,1009,2.5,114,23,5.6
76,1206,800,56,79,984,2.5,112,24,5.6
65,1251,945,57,88,984,2.5,114,25,5.6
76,1204,800,57,76,984,2.5,113,25,5.6
67,1246,800,57,84,984,2.5,114,25,5.6
72,1204,800,57,77,984,2.5,113,24,5.6
68,1223,800,58,81,984,2.5,112,25,5.6
79,1226,945,58,81,984,2.5,114,26,5.6
66,1217,945,58,83,984,2.5,113,23,5.6
78,1266,800,59,86,984,2.5,117,24,5.6
68,1291,800,59,92,984,2.5,118,24,5.6
83,1283,800,59,90,984,2.5,120,26,5.6
72,1225,800,60,80,984,2.5,115,25,5.6
61,1256,800,60,90,984,2.5,115,23,5.6
72,1210,800,60,82,984,2.5,112,23,5.6
61,1219,945,60,79,984,2.5,113,25,5.6
77,1178,800,60,76,984,2.5,112,23,5.6
68,1210,945,61,80,984,2.5,112,26,5.6
67,1246,945,61,84,984,2.5,116,27,5.6
63,1254,800,62,86,984,2.5,116,25,5.6
76,1237,945,62,85,984,2.5,114,23,5.6
64,1256,800,62,83,984,2.5,116,24,5.6
67,1263,800,63,82,984,2.5,118,25,5.6
70,1260,800,63,90,984,2.5,116,26,5.6
71,1257,800,63,82,984,2.5,117,25,5.6
60,1242,800,63,85,984,2.5,114,27,5.6
72,1287,945,64,91,984,2.5,120,23,5.6
64,1300,945,64,101,1099,2.5,120,24,5.6
74,1276,945,64,96,1134,2.5,118,25,5.6
72,1272,800,64,79,1175,2.5,125,26,5.6
69,1345,945,64,113,1188,2.5,129,26,5.6
68,1487,945,64,143,1191,2.5,143,25,5.6
70,1502,945,65,143,1229,2.5,146,26,5.6
70,1572,945,66,202,1294,2.5,159,25,5.6
61,1570,945,66,201,1412,2.5,149,25,5.6
71,1574,945,66,197,1561,2.5,162,24,5.6
73,1560,945,67,199,1693,2.5,155,27,5.6
