GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
86.756,1402.8,909.39,63.0731,195.099,1859.22,4.45853,88.8538,25,7.64634
17,1104,800,64,19,1847,3,122,21,7.3
81,1274,500,65,211,1786,3.6,40,27,7.5
99,1411,945,67,221,1727,3.8,129,35,7.7
99,1438,945,67,218,1736,4.2,107,28,7.7
99,1444,945,67,219,1793,4.3,92,28,7.7
99,1443,945,67,220,1847,4.4,93,24,7.8
99,1437,945,66,217,1904,4.5,88,25,7.7
75,1318,800,65,91,1966,4.5,88,27,7.7
85,1374,945,64,217,2004,4.3,65,33,7.6
60,1427,800,64,183,2004,4.3,91,29,7.6
99,1441,945,64,222,2004,4.4,116,21,7.5
99,1429,945,65,221,2007,4.4,118,23,7.5
99,1427,945,64,218,2008,4.4,113,20,7.5
99,1442,945,64,220,2027,4.4,110,21,7.5
99,1438,945,63,221,2031,4.4,107,20,7.5
99,1441,945,63,220,2031,4.5,99,22,7.5
99,1435,945,63,220,2031,4.5,95,23,7.5
99,1445,945,63,219,2031,4.5,92,23,7.6
99,1441,945,63,220,2035,4.6,91,24,7.6
99,1446,945,63,220,2035,4.6,90,22,7.6
99,1440,945,62,222,2015,4.6,90,21,7.6
99,1438,945,63,217,2004,4.6,90,22,7.6
99,1442,945,62,219,1969,4.7,92,25,7.6
99,1456,945,62,219,1929,4.7,95,25,7.6
99,1448,945,61,219,1887,4.7,97,24,7.6
99,1440,945,62,219,1844,4.8,90,24,7.6
99,1438,945,61,219,1811,4.8,95,28,7.7
99,1454,945,62,219,1811,4.8,97,25,7.7
99,1436,945,62,220,1811,4.8,89,26,7.7
99,1440,945,61,221,1808,4.9,87,26,7.7
97,1441,945,62,220,1811,4.9,82,27,7.7
99,1439,945,62,220,1786,4.8,75,27,7.7
99,1457,945,61,218,1753,4.8,61,26,7.8
99,1480,945,62,219,1719,4.8,47,25,7.8
39,1474,800,62,202,1663,4.9,49,29,7.9
99,1462,945,61,218,1602,4.9,49,28,7.9
99,1471,945,61,219,1538,4.9,52,30,8
99,1473,945,61,219,1477,4.9,55,27,8
0,1123,800,57,15,1442,4.9,61,22,8.1
